Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price,name
569000.0,1.0,1.0,538.0,49.2794889,-123.124186,0.0,Yes,Yes,No,No,No,No,No,13.251637470576169,Downtown
749900.0,1.0,1.0,888.0,49.2481865,-123.1571901,0.0,Yes,Yes,No,No,No,No,No,13.527696476799726,Arbutus Ridge
878900.0,2.0,1.0,759.0,49.2099601,-123.1297902,0.0,Yes,Yes,No,No,No,No,No,13.686427542337958,Marpole
918000.0,2.0,2.0,1046.0,49.206689,-123.0376945,0.0,Yes,Yes,No,No,No,No,No,13.729953758926651,Killarney
1598000.0,2.0,2.0,956.0,49.2834893,-123.135771,0.0,Yes,No,No,No,No,No,No,14.28426403109039,West End
2875000.0,5.0,3.0,2534.0,49.2512862,-123.1188459,0.09,Yes,No,Yes,No,No,No,No,14.871563580039616,South Cambie
499900.0,1.0,1.0,474.0,49.235968,-123.0279816,0.0,Yes,Yes,No,No,No,No,No,13.12216535779974,Renfrew-Collingwood
2550000.0,3.0,4.0,1810.0,49.2521907,-123.1824969,0.0,Yes,No,No,No,No,No,No,14.751604309291396,Dunbar-Southlands
1800000.0,5.0,2.0,2063.0,49.2602494,-123.0758352,0.09,Yes,Yes,Yes,No,No,No,No,14.403297778421797,Kensington-Cedar Cottage
3499900.0,6.0,3.0,1968.0,49.239776,-123.0390521,0.09,Yes,Yes,Yes,No,No,No,No,15.068245240345307,Renfrew-Collingwood
1639900.0,3.0,4.0,1507.0,49.2569122,-123.0809244,0.15,Yes,Yes,No,No,No,No,No,14.31014643212463,Mount Pleasant
1298000.0,2.0,3.0,1106.0,49.2627393,-123.1055932,0.0,Yes,No,Yes,No,No,No,No,14.0763359466619,Mount Pleasant
618800.0,1.0,1.0,544.0,49.277056,-123.128843,0.0,No,Yes,No,No,No,No,No,13.33553901371077,Downtown
2749900.0,3.0,3.0,2458.0,49.2586076,-123.1352033,0.0,Yes,No,Yes,No,No,No,No,14.82707546899474,Fairview
1568000.0,5.0,2.0,2543.0,49.279386,-123.0804933,0.07,Yes,No,No,No,No,No,No,14.265312117647388,Strathcona
568000.0,1.0,1.0,658.0,49.2689046,-123.1871765,0.0,Yes,Yes,No,No,No,No,No,13.24987845826512,West Point Grey
719000.0,1.0,1.0,600.0,49.2696259,-123.1085956,0.0,Yes,Yes,No,No,No,No,No,13.4856180275228,Mount Pleasant
1148000.0,1.0,1.0,769.0,49.2734689,-123.1163625,0.0,Yes,Yes,No,No,No,No,No,13.95353272694141,Downtown
2098000.0,6.0,2.0,2236.0,49.218688,-123.0488409,0.11,Yes,Yes,No,No,No,No,No,14.55649554458269,Killarney
1600000.0,3.0,4.0,1540.0,49.2186875,-123.1010981,0.1,Yes,Yes,No,No,No,No,No,14.285514812209817,Sunset
1699000.0,5.0,3.0,2170.0,49.2512859,-123.0539415,0.09,Yes,Yes,Yes,No,No,No,No,14.345550989235416,Renfrew-Collingwood
1108000.0,2.0,3.0,958.0,49.287292,-123.1238855,0.0,Yes,Yes,No,No,No,No,No,13.918068048816036,Downtown
1068000.0,2.0,2.0,1242.0,49.2056399,-123.0285991,0.0,Yes,Yes,No,No,No,No,No,13.881299234831427,Killarney
649000.0,1.0,1.0,704.0,49.2644225,-123.1494271,0.0,Yes,Yes,No,No,No,No,No,13.38318953651709,Kitsilano
1448000.0,2.0,2.0,1076.0,49.2735353,-123.114101,0.0,Yes,Yes,No,No,No,No,No,14.185694542535296,Downtown
799900.0,2.0,1.0,942.0,49.2523631,-123.1271141,0.0,Yes,No,No,No,No,No,No,13.592243248992402,South Cambie
989898.0,2.0,2.0,1340.0,49.2684378,-123.1358284,0.0,Yes,Yes,No,No,No,No,No,13.805358196704338,Fairview
2399000.0,3.0,4.0,1547.0,49.2595383,-123.1830421,0.0,Yes,No,Yes,No,No,No,No,14.690562958662095,Kitsilano
1550000.0,3.0,3.0,1217.0,49.2735337,-123.0384071,0.0,Yes,No,Yes,No,No,No,No,14.253766134056512,Hastings-Sunrise
669900.0,1.0,1.0,615.0,49.2672399,-123.0957596,0.0,Yes,Yes,No,No,No,No,No,13.41488521925536,Strathcona
568000.0,1.0,1.0,560.0,49.2840532,-123.1132837,0.0,Yes,Yes,No,No,No,No,No,13.24987845826512,Downtown
608800.0,1.0,1.0,525.0,49.2385963,-123.0310474,0.0,Yes,Yes,No,No,No,No,No,13.319246728103822,Renfrew-Collingwood
3600000.0,2.0,2.0,2312.0,49.2780963,-123.1156255,0.0,Yes,Yes,Yes,No,No,No,No,15.096444681204078,Downtown
