Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,neighbourhood_Downtown,neighbourhood_Dunbar-Southlands,neighbourhood_Fairview,neighbourhood_Grandview-Woodland,neighbourhood_Hastings-Sunrise,neighbourhood_Kensington-Cedar Cottage,neighbourhood_Kerrisdale,neighbourhood_Killarney,neighbourhood_Kitsilano,neighbourhood_Marpole,neighbourhood_Mount Pleasant,neighbourhood_Oakridge,neighbourhood_Renfrew-Collingwood,neighbourhood_Riley Park,neighbourhood_Shaughnessy,neighbourhood_South Cambie,neighbourhood_Strathcona,neighbourhood_Sunset,neighbourhood_Victoria-Fraserview,neighbourhood_West End,neighbourhood_West Point Grey
1398000.0,3.0,3.0,1281.0,49.2165201,-123.129695,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
649000.0,1.0,1.0,508.0,49.2760391,-123.1264715,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2299900.0,2.0,3.0,1675.0,49.2640279,-123.2055215,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1038000.0,2.0,2.0,1038.0,49.2792683,-123.1274721,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1139000.0,2.0,2.0,1069.0,49.2798569,-123.1266061,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3888000.0,4.0,3.0,2522.0,49.2673265,-123.0536571,0.18,1,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
489000.0,1.0,1.0,542.0,49.2770618,-123.1309189,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2338000.0,4.0,2.0,1964.0,49.2649211,-123.182322,0.09,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3999000.0,2.0,3.0,2441.0,49.2859438,-123.1238552,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
525000.0,1.0,1.0,521.0,49.2112675,-123.0897125,0.0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1989000.0,2.0,3.0,1452.0,49.2207872,-123.14121,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3688000.0,7.0,4.0,4507.0,49.2358923,-123.1834102,0.15,1,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
628000.0,1.0,1.0,559.0,49.2840532,-123.1132837,0.0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
638900.0,1.0,1.0,758.0,49.2351422,-123.0261651,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
988000.0,2.0,3.0,1086.0,49.2477757,-123.1215182,0.0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4788000.0,2.0,3.0,2005.0,49.2885563,-123.1180593,0.0,1,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
715000.0,2.0,1.0,704.0,49.232991,-123.023952,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
819900.0,1.0,1.0,794.0,49.2599842,-123.1204298,0.0,1,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
