Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price
6500000.0,3.0,5.0,4835.0,49.2468958,-123.1455245,0.25,Yes,Yes,Yes,No,No,No,No,15.687312888712007
915000.0,2.0,2.0,746.0,49.2689672,-123.0704552,0.0,Yes,Yes,No,No,No,No,No,13.726680437153236
1688000.0,2.0,3.0,1184.0,49.2264236,-123.1228577,0.0,Yes,Yes,No,No,No,No,No,14.339055546554926
785000.0,1.0,1.0,754.0,49.2672399,-123.0957596,0.0,Yes,Yes,No,No,No,No,No,13.573440270649085
1249000.0,2.0,2.0,915.0,49.2749667,-123.1153764,0.0,Yes,No,No,No,No,No,No,14.037854589747907
659000.0,1.0,1.0,599.0,49.2780963,-123.1156255,0.0,Yes,Yes,No,No,No,No,No,13.398480330934175
1499999.0,4.0,2.0,1624.0,49.2529857,-123.0756326,0.08,No,No,No,No,No,No,No,14.22097566607244
768000.0,1.0,1.0,716.0,49.2354608,-123.0274905,0.0,Yes,Yes,No,No,No,No,No,13.551546314212295
1099000.0,2.0,2.0,854.0,49.2689672,-123.0704552,0.0,Yes,No,No,No,No,No,No,13.909912143303451
949000.0,2.0,2.0,876.0,49.278458,-123.1295091,0.0,Yes,Yes,Yes,No,No,No,No,13.76316513133229
899000.0,2.0,2.0,1012.0,49.2756184,-123.1341972,0.0,Yes,No,No,No,No,No,No,13.70903942580019
899000.0,2.0,2.0,1022.0,49.2841489,-123.0584947,0.0,Yes,Yes,No,No,No,No,No,13.70903942580019
2298000.0,5.0,2.0,2434.0,49.2377767,-123.096275,0.09,Yes,Yes,No,No,No,No,No,14.647550172551753
569000.0,1.0,1.0,538.0,49.2794889,-123.124186,0.0,Yes,Yes,No,No,No,No,No,13.251637470576167
749900.0,1.0,1.0,888.0,49.2481865,-123.1571901,0.0,Yes,Yes,No,No,No,No,No,13.527696476799726
878900.0,2.0,1.0,759.0,49.2099601,-123.1297902,0.0,Yes,Yes,No,No,No,No,No,13.686427542337958
918000.0,2.0,2.0,1046.0,49.206689,-123.0376945,0.0,Yes,Yes,No,No,No,No,No,13.729953758926653
1598000.0,2.0,2.0,956.0,49.2834893,-123.135771,0.0,Yes,No,No,No,No,No,No,14.28426403109039
2875000.0,5.0,3.0,2534.0,49.2512862,-123.1188459,0.09,Yes,No,Yes,No,No,No,No,14.871563580039615
499900.0,1.0,1.0,474.0,49.235968,-123.0279816,0.0,Yes,Yes,No,No,No,No,No,13.12216535779974
2550000.0,3.0,4.0,1810.0,49.2521907,-123.1824969,0.0,Yes,No,No,No,No,No,No,14.751604309291395
1800000.0,5.0,2.0,2063.0,49.2602494,-123.0758352,0.09,Yes,Yes,Yes,No,No,No,No,14.403297778421795
3499900.0,6.0,3.0,1968.0,49.239776,-123.0390521,0.09,Yes,Yes,Yes,No,No,No,No,15.068245240345307
1639900.0,3.0,4.0,1507.0,49.2569122,-123.0809244,0.15,Yes,Yes,No,No,No,No,No,14.31014643212463
1298000.0,2.0,3.0,1106.0,49.2627393,-123.1055932,0.0,Yes,No,Yes,No,No,No,No,14.0763359466619
618800.0,1.0,1.0,544.0,49.277056,-123.128843,0.0,No,Yes,No,No,No,No,No,13.33553901371077
2749900.0,3.0,3.0,2458.0,49.2586076,-123.1352033,0.0,Yes,No,Yes,No,No,No,No,14.827075468994739
1568000.0,5.0,2.0,2543.0,49.279386,-123.0804933,0.07,Yes,No,No,No,No,No,No,14.265312117647388
568000.0,1.0,1.0,658.0,49.2689046,-123.1871765,0.0,Yes,Yes,No,No,No,No,No,13.249878458265119
719000.0,1.0,1.0,600.0,49.2696259,-123.1085956,0.0,Yes,Yes,No,No,No,No,No,13.4856180275228
1148000.0,1.0,1.0,769.0,49.2734689,-123.1163625,0.0,Yes,Yes,No,No,No,No,No,13.95353272694141
2098000.0,6.0,2.0,2236.0,49.218688,-123.0488409,0.11,Yes,Yes,No,No,No,No,No,14.55649554458269
1600000.0,3.0,4.0,1540.0,49.2186875,-123.1010981,0.1,Yes,Yes,No,No,No,No,No,14.285514812209815
1699000.0,5.0,3.0,2170.0,49.2512859,-123.0539415,0.09,Yes,Yes,Yes,No,No,No,No,14.345550989235415
1108000.0,2.0,3.0,958.0,49.287292,-123.1238855,0.0,Yes,Yes,No,No,No,No,No,13.918068048816036
1068000.0,2.0,2.0,1242.0,49.2056399,-123.0285991,0.0,Yes,Yes,No,No,No,No,No,13.881299234831427
649000.0,1.0,1.0,704.0,49.2644225,-123.1494271,0.0,Yes,Yes,No,No,No,No,No,13.38318953651709
1448000.0,2.0,2.0,1076.0,49.2735353,-123.114101,0.0,Yes,Yes,No,No,No,No,No,14.185694542535295
799900.0,2.0,1.0,942.0,49.2523631,-123.1271141,0.0,Yes,No,No,No,No,No,No,13.592243248992402
989898.0,2.0,2.0,1340.0,49.2684378,-123.1358284,0.0,Yes,Yes,No,No,No,No,No,13.805358196704338
2399000.0,3.0,4.0,1547.0,49.2595383,-123.1830421,0.0,Yes,No,Yes,No,No,No,No,14.690562958662095
1550000.0,3.0,3.0,1217.0,49.2735337,-123.0384071,0.0,Yes,No,Yes,No,No,No,No,14.253766134056512
669900.0,1.0,1.0,615.0,49.2672399,-123.0957596,0.0,Yes,Yes,No,No,No,No,No,13.414885219255359
568000.0,1.0,1.0,560.0,49.2840532,-123.1132837,0.0,Yes,Yes,No,No,No,No,No,13.249878458265119
608800.0,1.0,1.0,525.0,49.2385963,-123.0310474,0.0,Yes,Yes,No,No,No,No,No,13.319246728103822
3600000.0,2.0,2.0,2312.0,49.2780963,-123.1156255,0.0,Yes,Yes,Yes,No,No,No,No,15.096444681204078
